group_id,female,manager,population,district_id,state_name,year
177,f,f,112854,4,Louisiana,2015
178,f,f,111162,5,Louisiana,2015
179,f,f,154375,6,Louisiana,2015
180,f,f,127646,1,Maine,2015
181,f,f,108244,2,Maine,2015
182,f,f,147424,1,Maryland,2015
183,f,f,142786,2,Maryland,2015
184,f,f,160928,3,Maryland,2015
185,f,f,151878,4,Maryland,2015
186,f,f,159038,5,Maryland,2015
187,f,f,156131,6,Maryland,2015
188,f,f,124491,7,Maryland,2015
189,f,f,163266,8,Maryland,2015
190,f,f,126681,1,Massachusetts,2015
191,f,f,136889,2,Massachusetts,2015
192,f,f,149192,3,Massachusetts,2015
193,f,f,151709,4,Massachusetts,2015
194,f,f,162977,5,Massachusetts,2015
195,f,f,152165,6,Massachusetts,2015
196,f,f,149967,7,Massachusetts,2015
197,f,f,158677,8,Massachusetts,2015
198,f,f,130666,9,Massachusetts,2015
199,f,f,108352,1,Michigan,2015
200,f,f,132242,2,Michigan,2015
201,f,f,140365,3,Michigan,2015
202,f,f,116022,4,Michigan,2015
203,f,f,99323,5,Michigan,2015
204,f,f,128321,6,Michigan,2015
205,f,f,126691,7,Michigan,2015
206,f,f,140678,8,Michigan,2015
207,f,f,139939,9,Michigan,2015
208,f,f,134588,10,Michigan,2015
209,f,f,154273,11,Michigan,2015
210,f,f,128539,12,Michigan,2015
211,f,f,85927,13,Michigan,2015
212,f,f,97131,14,Michigan,2015
213,f,f,136564,1,Minnesota,2015
214,f,f,150023,2,Minnesota,2015
215,f,f,154948,3,Minnesota,2015
216,f,f,132569,4,Minnesota,2015
217,f,f,142927,5,Minnesota,2015
218,f,f,149205,6,Minnesota,2015
219,f,f,134480,7,Minnesota,2015
220,f,f,116679,8,Minnesota,2015
221,f,f,131716,1,Mississippi,2015
222,f,f,97309,2,Mississippi,2015
223,f,f,132017,3,Mississippi,2015
224,f,f,119643,4,Mississippi,2015
225,f,f,124111,1,Missouri,2015
226,f,f,164868,2,Missouri,2015
227,f,f,156332,3,Missouri,2015
