official_id,rep_type,female,state_name,district_id,year
199,house,0,Florida,12,2015
200,house,0,Florida,13,2015
201,house,1,Florida,14,2015
202,house,0,Florida,15,2015
203,house,0,Florida,16,2015
204,house,0,Florida,17,2015
205,house,0,Florida,18,2015
206,house,0,Florida,19,2015
207,house,0,Florida,20,2015
208,house,1,Florida,21,2015
209,house,0,Florida,22,2015
210,house,1,Florida,23,2015
211,house,1,Florida,24,2015
212,house,0,Florida,25,2015
213,house,0,Florida,26,2015
214,house,1,Florida,27,2015
215,house,0,Georgia,1,2015
216,house,0,Georgia,2,2015
217,house,0,Georgia,3,2015
218,house,0,Georgia,4,2015
219,house,0,Georgia,5,2015
220,house,0,Georgia,6,2015
221,house,0,Georgia,7,2015
222,house,0,Georgia,8,2015
223,house,0,Georgia,9,2015
224,house,0,Georgia,10,2015
225,house,0,Georgia,11,2015
226,house,0,Georgia,12,2015
227,house,0,Georgia,13,2015
228,house,0,Georgia,14,2015
229,house,0,Hawaii,1,2015
230,house,1,Hawaii,2,2015
231,house,0,Idaho,1,2015
232,house,0,Idaho,2,2015
233,house,0,Illinois,1,2015
234,house,1,Illinois,2,2015
235,house,0,Illinois,3,2015
236,house,0,Illinois,4,2015
237,house,0,Illinois,5,2015
238,house,0,Illinois,6,2015
239,house,0,Illinois,7,2015
240,house,1,Illinois,8,2015
241,house,1,Illinois,9,2015
242,house,0,Illinois,10,2015
243,house,0,Illinois,11,2015
244,house,0,Illinois,12,2015
245,house,0,Illinois,13,2015
246,house,0,Illinois,14,2015
247,house,0,Illinois,15,2015
248,house,0,Illinois,16,2015
249,house,1,Illinois,17,2015
250,house,0,Illinois,18,2015
251,house,0,Indiana,1,2015
252,house,1,Indiana,2,2015
253,house,0,Indiana,3,2015
254,house,0,Indiana,4,2015
255,house,1,Indiana,5,2015
256,house,0,Indiana,6,2015
257,house,0,Indiana,7,2015
258,house,0,Indiana,8,2015
259,house,0,Indiana,9,2015
260,house,0,Iowa,1,2015
261,house,0,Iowa,2,2015
262,house,0,Iowa,3,2015
263,house,0,Iowa,4,2015
264,house,0,Kansas,1,2015
265,house,1,Kansas,2,2015
266,house,0,Kansas,3,2015
267,house,0,Kansas,4,2015
268,house,0,Kentucky,1,2015
269,house,0,Kentucky,2,2015
270,house,0,Kentucky,3,2015
271,house,0,Kentucky,4,2015
272,house,0,Kentucky,5,2015
273,house,0,Kentucky,6,2015
