group_id,female,manager,population,district_id,state_name
924,t,f,102113,33,California
925,t,f,100796,34,California
926,t,f,89873,35,California
927,t,f,68775,36,California
928,t,f,108470,37,California
929,t,f,101539,38,California
930,t,f,94005,39,California
931,t,f,84819,40,California
932,t,f,82608,41,California
933,t,f,86921,42,California
934,t,f,102313,43,California
935,t,f,85295,44,California
936,t,f,103076,45,California
937,t,f,96866,46,California
938,t,f,100949,47,California
939,t,f,103810,48,California
940,t,f,90694,49,California
941,t,f,89637,50,California
942,t,f,70309,51,California
943,t,f,109999,52,California
944,t,f,111177,53,California
1327,t,t,5118,1,California
1328,t,t,7484,2,California
1329,t,t,6453,3,California
1330,t,t,8576,4,California
1331,t,t,7181,5,California
1332,t,t,6631,6,California
1333,t,t,7095,7,California
1334,t,t,3200,8,California
1335,t,t,5666,9,California
1336,t,t,3389,10,California
1337,t,t,9747,11,California
1338,t,t,14682,12,California
1339,t,t,10664,13,California
1340,t,t,9940,14,California
1341,t,t,8356,15,California
1342,t,t,2829,16,California
1343,t,t,6703,17,California
1344,t,t,12699,18,California
1345,t,t,9344,19,California
1346,t,t,4594,20,California
1347,t,t,,21,California
1348,t,t,6211,22,California
1349,t,t,4683,23,California
1350,t,t,6186,24,California
1351,t,t,5950,25,California
1352,t,t,7712,26,California
1353,t,t,9655,27,California
1354,t,t,8761,28,California
1355,t,t,4575,29,California
1356,t,t,9829,30,California
1357,t,t,4961,31,California
1358,t,t,5910,32,California
1359,t,t,10957,33,California
1360,t,t,5468,34,California
1361,t,t,4846,35,California
1362,t,t,2835,36,California
1363,t,t,8556,37,California
1364,t,t,5440,38,California
1365,t,t,7312,39,California
1366,t,t,3306,40,California
1367,t,t,3791,41,California
1368,t,t,5367,42,California
1369,t,t,5834,43,California
1370,t,t,3742,44,California
1371,t,t,10989,45,California
1372,t,t,5403,46,California
1373,t,t,6837,47,California
1374,t,t,9393,48,California
1375,t,t,7207,49,California
1376,t,t,5999,50,California
1377,t,t,2939,51,California
1378,t,t,9705,52,California
1379,t,t,10494,53,California
75,f,f,183390,1,Colorado
76,f,f,163553,2,Colorado
77,f,f,128981,3,Colorado
78,f,f,170214,4,Colorado
79,f,f,135225,5,Colorado
80,f,f,170619,6,Colorado
81,f,f,168885,7,Colorado
510,f,t,17400,1,Colorado
511,f,t,17127,2,Colorado
512,f,t,11188,3,Colorado
513,f,t,13484,4,Colorado
514,f,t,10626,5,Colorado
515,f,t,13656,6,Colorado
516,f,t,14515,7,Colorado
945,t,f,135228,1,Colorado
946,t,f,109758,2,Colorado
947,t,f,94506,3,Colorado
948,t,f,105206,4,Colorado
949,t,f,96330,5,Colorado
950,t,f,124104,6,Colorado
951,t,f,123843,7,Colorado
1380,t,t,12084,1,Colorado
1381,t,t,9315,2,Colorado
1382,t,t,8253,3,Colorado
1383,t,t,8387,4,Colorado
1384,t,t,7535,5,Colorado
1385,t,t,9458,6,Colorado
1386,t,t,8454,7,Colorado
82,f,f,137136,1,Connecticut
83,f,f,133651,2,Connecticut
84,f,f,139160,3,Connecticut
85,f,f,143169,4,Connecticut
86,f,f,135914,5,Connecticut
517,f,t,10721,1,Connecticut
518,f,t,11516,2,Connecticut
519,f,t,10698,3,Connecticut
520,f,t,10460,4,Connecticut
521,f,t,9948,5,Connecticut
952,t,f,114923,1,Connecticut
953,t,f,98886,2,Connecticut
954,t,f,108772,3,Connecticut
955,t,f,102783,4,Connecticut
956,t,f,101336,5,Connecticut
1387,t,t,9138,1,Connecticut
1388,t,t,7107,2,Connecticut
1389,t,t,8024,3,Connecticut
1390,t,t,6226,4,Connecticut
1391,t,t,7156,5,Connecticut
87,f,f,167820,0,Delaware
522,f,t,15313,0,Delaware
957,t,f,145811,0,Delaware
1392,t,t,11299,0,Delaware
88,f,f,128085,1,Florida
89,f,f,106935,2,Florida
90,f,f,107921,3,Florida
91,f,f,144495,4,Florida
92,f,f,112904,5,Florida
93,f,f,116981,6,Florida
94,f,f,140049,7,Florida
95,f,f,117934,8,Florida
96,f,f,149179,9,Florida
97,f,f,146355,10,Florida
98,f,f,84850,11,Florida
99,f,f,126021,12,Florida
100,f,f,130137,13,Florida
101,f,f,136605,14,Florida
102,f,f,136832,15,Florida
103,f,f,112622,16,Florida
104,f,f,109067,17,Florida
105,f,f,125413,18,Florida
106,f,f,116309,19,Florida
107,f,f,120179,20,Florida
108,f,f,134742,21,Florida
109,f,f,144008,22,Florida
110,f,f,153716,23,Florida
111,f,f,125616,24,Florida
112,f,f,141142,25,Florida
113,f,f,160234,26,Florida
114,f,f,152221,27,Florida
523,f,t,11851,1,Florida
524,f,t,8538,2,Florida
525,f,t,7595,3,Florida
526,f,t,10119,4,Florida
527,f,t,6766,5,Florida
528,f,t,9833,6,Florida
529,f,t,12736,7,Florida
530,f,t,9300,8,Florida
531,f,t,9770,9,Florida
532,f,t,12717,10,Florida
533,f,t,6448,11,Florida
534,f,t,14260,12,Florida
535,f,t,10473,13,Florida
536,f,t,10185,14,Florida
537,f,t,8937,15,Florida
538,f,t,9247,16,Florida
539,f,t,6225,17,Florida
540,f,t,9927,18,Florida
541,f,t,8445,19,Florida
542,f,t,5123,20,Florida
543,f,t,11619,21,Florida
544,f,t,13837,22,Florida
545,f,t,13638,23,Florida
546,f,t,6721,24,Florida
547,f,t,10785,25,Florida
548,f,t,11889,26,Florida
549,f,t,10681,27,Florida
958,t,f,100509,1,Florida
959,t,f,93351,2,Florida
960,t,f,87280,3,Florida
961,t,f,122924,4,Florida
962,t,f,108629,5,Florida
963,t,f,91495,6,Florida
964,t,f,113553,7,Florida
965,t,f,95437,8,Florida
966,t,f,115990,9,Florida
967,t,f,117222,10,Florida
968,t,f,72186,11,Florida
969,t,f,107449,12,Florida
970,t,f,112443,13,Florida
971,t,f,119997,14,Florida
972,t,f,107147,15,Florida
973,t,f,99455,16,Florida
974,t,f,81293,17,Florida
975,t,f,100061,18,Florida
976,t,f,95016,19,Florida
977,t,f,109127,20,Florida
978,t,f,109425,21,Florida
979,t,f,101954,22,Florida
980,t,f,113503,23,Florida
981,t,f,114170,24,Florida
982,t,f,108435,25,Florida
983,t,f,120925,26,Florida
984,t,f,109905,27,Florida
1393,t,t,6426,1,Florida
1394,t,t,6064,2,Florida
1395,t,t,5876,3,Florida
1396,t,t,8078,4,Florida
1397,t,t,4924,5,Florida
1398,t,t,6626,6,Florida
1399,t,t,7284,7,Florida
1400,t,t,8170,8,Florida
1401,t,t,7499,9,Florida
1402,t,t,12090,10,Florida
1403,t,t,4322,11,Florida
1404,t,t,8278,12,Florida
1405,t,t,7478,13,Florida
1406,t,t,6392,14,Florida
1407,t,t,6007,15,Florida
1408,t,t,6701,16,Florida
1409,t,t,4057,17,Florida
1410,t,t,7939,18,Florida
1411,t,t,5740,19,Florida
1412,t,t,5229,20,Florida
1413,t,t,7523,21,Florida
1414,t,t,8132,22,Florida
1415,t,t,8779,23,Florida
1416,t,t,5702,24,Florida
1417,t,t,6223,25,Florida
1418,t,t,8127,26,Florida
1419,t,t,6884,27,Florida
115,f,f,115975,1,Georgia
116,f,f,93116,2,Georgia
117,f,f,126108,3,Georgia
118,f,f,124287,4,Georgia
119,f,f,135058,5,Georgia
120,f,f,169499,6,Georgia
121,f,f,165655,7,Georgia
122,f,f,118780,8,Georgia
123,f,f,124144,9,Georgia
124,f,f,122932,10,Georgia
125,f,f,160135,11,Georgia
126,f,f,108972,12,Georgia
127,f,f,132645,13,Georgia
128,f,f,134053,14,Georgia
550,f,t,8776,1,Georgia
551,f,t,4588,2,Georgia
552,f,t,8286,3,Georgia
553,f,t,8360,4,Georgia
554,f,t,11524,5,Georgia
555,f,t,18213,6,Georgia
556,f,t,12881,7,Georgia
557,f,t,7020,8,Georgia
558,f,t,8730,9,Georgia
559,f,t,9098,10,Georgia
560,f,t,15216,11,Georgia
561,f,t,6105,12,Georgia
562,f,t,7960,13,Georgia
563,f,t,7467,14,Georgia
985,t,f,95989,1,Georgia
986,t,f,86951,2,Georgia
987,t,f,93877,3,Georgia
988,t,f,120383,4,Georgia
989,t,f,132069,5,Georgia
990,t,f,116342,6,Georgia
991,t,f,115612,7,Georgia
992,t,f,92621,8,Georgia
993,t,f,91171,9,Georgia
994,t,f,91853,10,Georgia
995,t,f,116843,11,Georgia
996,t,f,93380,12,Georgia
997,t,f,124445,13,Georgia
998,t,f,99912,14,Georgia
1420,t,t,6839,1,Georgia
1421,t,t,4971,2,Georgia
1422,t,t,5454,3,Georgia
1423,t,t,6768,4,Georgia
1424,t,t,11185,5,Georgia
1425,t,t,10693,6,Georgia
1426,t,t,9609,7,Georgia
1427,t,t,5302,8,Georgia
1428,t,t,3889,9,Georgia
1429,t,t,5149,10,Georgia
1430,t,t,12225,11,Georgia
1431,t,t,5169,12,Georgia
1432,t,t,9055,13,Georgia
1433,t,t,5379,14,Georgia
129,f,f,139405,1,Hawaii
130,f,f,124953,2,Hawaii
564,f,t,10070,1,Hawaii
565,f,t,6368,2,Hawaii
999,t,f,112064,1,Hawaii
1000,t,f,101913,2,Hawaii
1434,t,t,7474,1,Hawaii
1435,t,t,6010,2,Hawaii
131,f,f,145575,1,Idaho
132,f,f,149322,2,Idaho
566,f,t,10370,1,Idaho
567,f,t,8677,2,Idaho
1001,t,f,100220,1,Idaho
1002,t,f,92439,2,Idaho
1436,t,t,5646,1,Idaho
1437,t,t,6316,2,Idaho
133,f,f,103199,1,Illinois
134,f,f,104953,2,Illinois
135,f,f,138525,3,Illinois
